Section,ID,Extended,RTR,Length,Data,Count,Timestamps
IN_B_NOT_A,848,0,0,8,"58,51,12,7,233,11,13,1",1,0.815059
IN_B_NOT_A,848,0,0,8,"59,51,12,7,233,11,13,1",1,1.814433
IN_B_NOT_A,848,0,0,8,"6,52,12,7,233,11,13,1",1,8.817324
IN_B_NOT_A,848,0,0,8,"7,52,12,7,233,11,13,1",1,9.815673
IN_B_NOT_A,848,0,0,8,"8,52,12,7,233,11,13,1",1,10.815721
IN_B_NOT_A,848,0,0,8,"9,52,12,7,233,11,13,1",1,11.815687
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,51,0,57",1,0.822784
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,51,0,59",2,"1.818387,2.821478"
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,1",2,"3.821432,4.821588"
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,11",1,13.823394
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,3",2,"5.820574,6.820834"
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,5",2,"7.818649,8.826052"
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,7",2,"9.820666,10.823441"
IN_B_NOT_A,908,0,0,8,"233,7,11,13,17,52,0,9",2,"11.820805,12.823424"
,,,,,,,
=== SUMMARY ===,,,,,,,
Total messages in A,191,,,,,,
Total messages in B,298,,,,,,
Unique to A,50,,,,,,
Unique to B,157,,,,,,
Messages in common,141,,,,,,
